query,n_rank1,n_rank2,n_rank3,count,p_rank1,p_rank2,p_rank3,f_rank1,f_rank2,f_rank3
핸드폰요금   50000원을     전기요금  비밀번호     4542 현금영수증,"('현금영수증 발행 업무', 0.936)","('현금영수증 발급 방법', 0.929)","('Sk pay 가맹점 확인 방법', 0.722)",2,현금영수증발행업무(0.49018165),현금영수증발급방법(0.48809075),공시지원금확인방법(0.410740165),"('현금영수증 발행 업무', 0.474)","('다이렉트5G 42', 0.421)",
없어요 감사합니다,"('A.', 0.801)","('실시간 요금 상세 내역', 0.761)","('전화 상담사 연결', 0.761)",2,전화상담사연결(0.43777685),SK텔레콤고객센터운영시간(0.429798485),타통신사고객센터(0.4123928),"('채티 서비스', 0.544)","('추가 관련', 0.514)","('퀵보이스', 0.502)"
제가 폰을  바꾸고 싶은 데요,"('T나는 폰교체', 0.95)","('휴대폰 기기변경 방법', 0.929)","('갤럭시 기기 변경 상담', 0.916)",2,"휴대폰기기변경방법(0.8290538)
",,,"('휴대폰 기기변경 방법', 0.901)","('5G 기기 변경 방법', 0.635)","('갤럭시 기기 변경 상담', 0.627)"
요금제를 올리고 싶어서요,"('요금제문의', 0.819)","('타 통신사 고객센터', 0.812)","('이동전화 가입 (타사)', 0.808)",2,요금수납내역확인방법(0.40895535),편의점요금납부(0.4011317),과납(0.4009039),"('요금제 변경', 0.597)","('요금제문의', 0.595)","('LTE 요금제', 0.454)"
타명의카드납부 방법,"('명의도용', 0.886)","('가족 간 명의변경', 0.873)","('명의도용 신고 방법', 0.872)",2,동일신용카드월5회수납제한(0.47905415),"제휴카드할인(0.4482377)
",,"('T로밍 카드 결제 수단', 0.483)","('Sk pay 결제 방법', 0.465)","('Sk pay 가입 방법', 0.427)"
안녕하세요  SK B 브로드밴드  전화 팩스 인터넷?,"('유선 요금안내서', 0.79)","('요금안내서 Bill Letter', 0.779)","('요금안내서 Bill Letter 앱 설치 방법', 0.774)",2,SK브로드밴드고객센터(0.47660975),band데이터요금제(0.47330758),"band데이터6.5G(0.45298508)
","('T_인터넷전화', 0.492)",,
요금 조회가 무슨 뜻 이예요?,"('로밍 요금 확인 시점', 0.817)","('조회 관련', 0.81)","('실시간 요금 상세 내역', 0.808)",2,요금수납내역확인방법(0.44768682),요금부분납부방법(0.4408497),편의점요금납부(0.4291421),"('실시간 요금 상세 내역', 0.629)","('조회 관련', 0.577)","('요금제문의', 0.422)"
가상계좌번호랑 금액좀 남겨주세요,"('공동인증서 등록 방법', 0.619)","('휴대폰인증서서비스', 0.59)","('휴대폰인증서 서비스 해지 방법', 0.582)",2,"차상위계층한부모가족복지할인제도(0.8099693)
",,,,,
실시간이용요금 뭐예요?25559원,"('실시간 요금 상세 내역', 0.8)","('휴대폰결제 이용동의 신청 방법', 0.786)","('퀵보이스 신청 방법', 0.712)",2,"실시간요금상세내역(0.89231384)
",,,"('실시간 요금 상세 내역', 0.545)",,
미납요금 납부가능일 12월 10일로 등록,"('미납 이용정지', 0.824)","('SKT 미납센터 연락처', 0.822)","('단말기 할부금 중도 납부 방법', 0.817)",2,SKT미납센터연락처(0.48138655),미납이용정지(0.456323115),미납직권해지(0.44139365),"('요금 납부일 확인 방법', 0.564)","('요금 납부일 변경 방법', 0.546)","('SKT 미납센터 연락처', 0.46)"
나 이번에 펜션 예약 찐 잘함,"('0캠퍼스', 0.625)","('5GX퍼펙트클럽 갤럭시S21 파손형', 0.616)","('T청소년 안심팩 서비스', 0.613)",2,LTE안심옵션신청방법(0.46065515),LTE팅안심옵션(0.46044805),모션키(0.458987115),,,
로밍 청구액 알려줘,"('로밍 요금 확인 시점', 0.805)","('요금 수납 내역 확인 방법', 0.769)","('요금 부분 납부 방법', 0.74)",2,로밍통화요금(0.49453372),로밍수신요금(0.491411),로밍중휴대폰기능사용요금(0.49091435),"('로밍 요금 확인 시점', 0.906)","('T로밍 청구내역서', 0.589)","('데이터 로밍 요금', 0.536)"
11월15일 입금예정,"('T우주 정기배송 서비스', 0.613)","('통신과금 선결제', 0.594)","('요금 납부일 변경 방법', 0.592)",2,"요금납부일확인방법(0.8173251)
",,,"('요금 납부일 확인 방법', 0.49)","('단말기 할부금 중도 납부 방법', 0.487)","('요금 납부일 변경 방법', 0.476)"
시간을 조금더 주세요,"('SK텔레콤 고객센터 운영 시간', 0.818)","('A.', 0.792)","('전화 상담사 연결', 0.778)",2,"실시간요금상세내역(0.8168356)
",,,"('SK텔레콤 고객센터 운영 시간', 0.527)","('추가 관련', 0.502)","('연장 관련', 0.498)"
상담사 통화는 불가능한거지요,"('전화 상담사 연결', 0.96)","('A.', 0.892)","('SK텔레콤 고객센터 운영 시간', 0.855)",2,전화상담사연결(0.49019255),SK텔레콤고객센터운영시간(0.4841909),타통신사고객센터(0.461194275),"('전화 상담사 연결', 0.782)","('SK텔레콤 고객센터 운영 시간', 0.544)","('통화품질 관련', 0.404)"
이미 가입했어요,"('예약 관련', 0.817)","('가입상담 예약 방법', 0.812)","('개통 관련', 0.783)",2,이동전화가입제한(0.43316883),이용계약증명서발급방법(0.429606765),"가입상담예약방법(0.4261266)
","('부가서비스 가입내역 확인 방법', 0.475)",,
현지시간이 적용안됨,"('로밍 일시 허용', 0.798)","('요금 납부일 변경 방법', 0.749)","('SK텔레콤 고객센터 운영 시간', 0.738)",2,"실시간요금상세내역(0.8378948)
",,,"('속도 관련', 0.484)","('SK텔레콤 고객센터 운영 시간', 0.46)","('고장 실패 관련', 0.443)"
상담문의,"('전화 상담사 연결', 0.973)","('A.', 0.947)","('SK텔레콤 고객센터 운영 시간', 0.833)",2,전화상담사연결(0.48280075),SK텔레콤고객센터운영시간(0.46917915),타통신사고객센터(0.4468148),"('채티 서비스', 0.67)","('전화 상담사 연결', 0.633)","('데이터 문의 관련', 0.541)"
24일에 납부가능한가요 그날이 급여라 부탁드립니다,"('T Tab 24 공유', 0.825)","('T Tab 24', 0.807)","('T멤버십 0day 혜택', 0.731)",2,요금납부일확인방법(0.47394485),과납(0.40544605),"부가사용금액(0.40424168)
","('요금 납부일 변경 방법', 0.608)","('요금 납부일 확인 방법', 0.588)","('단말기 할부금 중도 납부 방법', 0.404)"
그만 문자보내,"('장기일시정지', 0.765)","('장기 일시정지 직권해지', 0.758)","('일시정지', 0.756)",2,문자매니저(0.46723455),문자메시지서비스(0.4650631),등기문자(0.46411955),"('문자매니저 해지 방법', 0.461)","('T전화 탈퇴 및 서비스 미사용', 0.455)","('메시지 관련', 0.452)"
요금 납부 가능일자드,"('요금 납부일 변경 방법', 0.953)","('요금 납부일 확인 방법', 0.931)","('유선 요금 납부일 변경 방법', 0.917)",2,"요금납부일확인방법(0.9746413)
",,,"('요금 납부일 확인 방법', 0.819)","('요금 납부일 변경 방법', 0.698)","('휴대폰 개통일 확인 방법', 0.481)"
휴대폰 납부 방법,"('요금 부분 납부 방법', 0.822)","('과납', 0.781)","('부가 사용 금액', 0.78)",2,요금부분납부방법(0.4799043),요금수납내역확인방법(0.47922695),편의점요금납부(0.4699825),"('단말기 할부금 중도 납부 방법', 0.641)","('요금 부분 납부 방법', 0.595)","('휴대폰결제 이용동의 신청 방법', 0.56)"
납입고지서,"('요금안내서 Bill Letter', 0.962)","('요금안내서 Bill Letter 앱 설치 방법', 0.947)","('유선 요금안내서', 0.941)",2,세금계산서재발행방법(0.443495),세금계산서신청방법(0.433670135),요금부분납부방법(0.41870045),"('요금안내서 발행유형 자동 변경 해제 방법', 0.582)","('요금안내서 재발행 방법', 0.577)","('요금안내서 변경 방법', 0.572)"
계좌부탁,"('Sk pay 결제 방법', 0.564)","('Sk pay', 0.56)","('Sk pay 가맹점 확인 방법', 0.547)",2,SK텔레콤고객센터운영시간(0.41256325),"전화상담사연결(0.40274355)
",,"('주식 서비스', 0.467)","('주식 관련', 0.455)","('채팅플러스 계좌 송금 서비스', 0.445)"
선택약정연장하고싶어요,"('선택약정 할인제도 약정 기간 변경', 0.875)","('T로밍 카드 유효 기간', 0.845)","('T데이터 쿠폰 사용 기간', 0.837)",2,선택약정할인제도가입조건(0.489980815),선택약정할인제도할인반환금부과대상(0.48883638),선택약정할인제도만료문자발송시기(0.48700157),"('선택약정 할인제도 재가입 조건', 0.653)","('연장 관련', 0.538)","('선택약정 할인제도 약정 기간 변경', 0.513)"
지금 가입했는데요,"('가입상담 예약 방법', 0.834)","('개통 관련', 0.822)","('갤럭시 기기 변경 상담', 0.798)",2,이용계약증명서발급방법(0.44217843),이동전화가입제한(0.4335407),가입상담예약방법(0.431111215),"('개통 관련', 0.591)","('가입상담 예약 방법', 0.572)","('신규가입 구비서류', 0.536)"
미납요금 납부햏다고,"('SKT 미납센터 연락처', 0.928)","('미납 이용정지', 0.917)","('과납', 0.898)",2,SKT미납센터연락처(0.48960632),미납이용정지(0.45810405),미납직권해지(0.4449647),"('SKT 미납센터 연락처', 0.75)","('미납 이용정지', 0.685)","('가산금', 0.643)"
연결 부탁 드립니다,"('전화 상담사 연결', 0.935)","('A.', 0.875)","('SK텔레콤 고객센터 운영 시간', 0.849)",2,"전화상담사연결(0.8345017)
",,,"('전화 상담사 연결', 0.876)","('SK텔레콤 고객센터 운영 시간', 0.579)","('연결 관련', 0.549)"
가상계좌 보내조,"('공동인증서 등록 방법', 0.606)","('휴대폰인증서서비스', 0.579)","('휴대폰인증서 서비스 해지 방법', 0.568)",2,"차상위계층한부모가족복지할인제도(0.8413115)
",,,"('채팅플러스 계좌 송금 서비스', 0.432)",,
재약정 하려고 합니다,"('통합 청구서 해지 방법', 0.767)","('아파트청약케어 해지 방법', 0.759)","('가족 결합 상품 해지 방법', 0.746)",2,"요금약정할인제도(0.81327623)
",,,"('요금약정 할인제도', 0.585)","('선택약정 할인제도 재가입 조건', 0.53)","('선택약정 할인제도 약정 기간 변경', 0.445)"
자녀의 KT요금도 T월드에서 선택약정 신청할 수 있나요?,"('자녀요금통보서비스', 0.98)","('자녀요금통보서비스 해지 방법', 0.978)","('자녀 요금 조회 방법', 0.975)",2,선택약정할인제도만료문자발송시기(0.47093965),선택약정할인제도가입조건(0.4680503),선택약정할인제도할인반환금부과대상(0.46079743),,,
나 단말기 몇년약정했어?,"('선택약정 할인제도 약정 기간 변경', 0.888)","('T로밍 카드 유효 기간', 0.823)","('T데이터 쿠폰 사용 기간', 0.821)",2,"요금약정할인제도(0.9046855)
",,,"('단말기 잔여 할부 조회 방법', 0.46)","('휴대폰 개통일 확인 방법', 0.439)",
인터넷 들어가기,"('인터넷 관련', 0.914)","('Wavve앤데이터', 0.875)","('데이터 문의 관련', 0.871)",2,"인터넷전화기전원불량조치방법(0.8053488)
",,,"('인터넷 관련', 0.806)","('유선 인터넷 접속 불가 조치 방법', 0.484)","('유선 인터넷 모뎀 공유기', 0.45)"
부가요금내역보내셔요,"('요금 수납 내역 확인 방법', 0.718)","('가산금', 0.683)","('부가 사용 금액', 0.674)",2,요금수납내역확인방법(0.46452815),요금부분납부방법(0.463829575),편의점요금납부(0.442334535),"('수납이력서 재발행 방법', 0.545)","('요금 수납 내역 확인 방법', 0.515)","('요금안내서 변경 방법', 0.504)"
로밍 실시간요금,"('실시간 요금 상세 내역', 0.792)","('휴대폰결제 이용동의 신청 방법', 0.751)","('결제 관련', 0.666)",2,로밍요금확인시점(0.4855234),로밍수신요금(0.480698),로밍통화요금(0.47560995),"('로밍 요금 확인 시점', 0.841)","('데이터 로밍 요금', 0.639)","('실시간 요금 상세 내역', 0.523)"
가족핸드폰요금,"('가족 관련', 0.944)","('가족 로밍', 0.932)","('가족나눔데이터', 0.93)",2,휴대폰가족보호(0.40623165),휴대폰가족보호신청방법(0.405837415),"휴대폰가족보호이용방법(0.40574955)
","('가족 관련', 0.556)","('다른 번호 문의', 0.524)","('휴대폰가족보호', 0.506)"
미납 가능일,"('SKT 미납센터 연락처', 0.929)","('미납 이용정지', 0.913)","('과납', 0.874)",2,SKT미납센터연락처(0.489008365),미납이용정지(0.46010165),미납직권해지(0.44403865),"('요금 납부일 확인 방법', 0.659)","('가산금', 0.589)","('SKT 미납센터 연락처', 0.579)"
문자 발송 한도,"('애플 콘텐츠 이용료 결제 이용 한도', 0.889)","('법인 휴대폰 결제 이용 한도', 0.782)","('데이터통화료 상한제도', 0.632)",2,일500건SMS발송량제한(0.49234585),문자메시지서비스(0.4850204),등기문자(0.48294902),"('일 500건 SMS 발송량 제한', 0.734)","('메시지 관련', 0.482)","('문자메시지 서비스', 0.481)"
네 고객센터로 문의할께요,"('전화 상담사 연결', 0.92)","('A.', 0.878)","('유선 A/S 방문 일정', 0.865)",2,SK텔레콤고객센터운영시간(0.48622507),타통신사고객센터(0.48069885),ONEstore고객센터(0.47866345),"('SK텔레콤 고객센터 운영 시간', 0.77)","('전화 상담사 연결', 0.651)","('제조사 AS 센터 연락처', 0.619)"
아이로밍,"('Wavve앤데이터', 0.881)","('모바일 B tv 앱', 0.847)","('T_인터넷전화', 0.847)",2,T로밍청구내역서(0.44511845),로밍한사람간통화요금(0.42751365),로밍중발신번호표시(0.42443663),"('미성년자 로밍', 0.636)","('가족 로밍', 0.552)","('T로밍 카드', 0.496)"
17일 납부가능일 등록,"('요금 납부일 변경 방법', 0.759)","('요금 납부일 확인 방법', 0.728)","('유선 요금 납부일 변경 방법', 0.706)",2,"요금납부일확인방법(0.90285224)
",,,"('요금 납부일 변경 방법', 0.688)","('요금 납부일 확인 방법', 0.6)","('유선 요금 납부일 변경 방법', 0.431)"
셀럽psy,"('NUGU 서비스 셀럽 알람', 0.738)","('B tv TV CHOSUN 월정액', 0.543)","('채팅플러스 계좌 송금 서비스', 0.526)",2,5GX클럽갤럭시S21(0.44449523),5GX퍼펙트클럽갤럭시S21파손형(0.44220665),5GX퍼펙트클럽갤럭시S21분실파손형(0.440625965),"('NUGU 서비스 셀럽 알람', 0.467)",,
실시간요금 납부,"('실시간 요금 상세 내역', 0.929)","('결제 관련', 0.771)","('통신과금 선결제', 0.709)",2,실시간요금상세내역(0.480892865),휴대폰결제연체가산금(0.42831403),요금납부일확인방법(0.4101626),"('요금 수납 내역 확인 방법', 0.589)","('실시간 요금 상세 내역', 0.56)","('결제 관련', 0.482)"
선택약정할인 신청할께요 01085952675,"('선택약정 할인제도 가입 조건', 0.952)","('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.939)","('요금약정 할인제도', 0.925)",2,선택약정할인제도가입조건(0.4902978),선택약정할인제도할인반환금부과대상(0.48840338),선택약정할인제도만료문자발송시기(0.48786885),"('선택약정 할인제도 가입 조건', 0.503)","('요금약정 할인제도', 0.502)","('선택약정 할인제도 해지 방법', 0.403)"
요금 조회 문의할게,"('실시간 요금 상세 내역', 0.869)","('요금 부분 납부 방법', 0.742)","('아파트청약케어', 0.691)",2,요금수납내역확인방법(0.45339972),요금부분납부방법(0.449310275),기타요금(0.432195425),"('실시간 요금 상세 내역', 0.739)","('요금제문의', 0.545)","('조회 관련', 0.514)"
22일날쯤납부가능합니다,"('요금 부분 납부 방법', 0.814)","('과납', 0.795)","('미납 직권해지', 0.738)",2,"요금납부일확인방법(0.8996734)
",,,"('요금 납부일 확인 방법', 0.609)","('요금 납부일 변경 방법', 0.591)","('단말기 할부금 중도 납부 방법', 0.555)"
휴대폰3,"('휴대폰 관련', 0.871)","('셋톱박스', 0.844)","('휴대폰 기기변경 방법', 0.824)",2,내휴대폰기종확인(0.41419348),"아이폰기기변경상담(0.4030978)
",,"('휴대폰 관련', 0.816)","('SK 세븐모바일', 0.586)","('아이폰 관련', 0.556)"
제가번호를 고를수있는건가요?,"('번호도용문자차단 신청 방법', 0.968)","('번호도용문자차단', 0.967)","('번호도용문자차단 해지 방법', 0.966)",1,"휴대폰번호보호신청방법(0.89553934)
",,,,,
주민번호 770219입니다,"('주민등록번호 정정', 0.868)","('가입 정보 조회', 0.836)","('발신번호 관련', 0.792)",1,주민등록번호정정(0.48899085),요금안내서주소변경방법(0.478818775),선택약정할인제도만료문자발송시기(0.43328925),"('주민등록번호 정정', 0.566)","('T아이디', 0.454)",
"제가 받은 문자에서는 143,080원으로 확인이 되는데","('0청년 43', 0.692)","('5GX스탠다드+다이렉트플랜', 0.677)","('채티 서비스', 0.669)",1,문자매니저(0.430704385),일500건SMS발송량제한(0.428450675),스팸문자(0.428008765),,,
어떻게 삭제해야되나요?,"('유튜브 프리미엄 자동 결제 해지 방법', 0.917)","('애플 콘텐츠 이용료 결제 취소 방법', 0.915)","('Wavve 앤 데이터 해지 방법', 0.913)",1,이동전화해지방법(0.46866998),"자동납부해지방법(0.4534135)
",,"('T전화채티대화이력삭제', 0.578)","('이동전화 해지 방법', 0.576)","('T전화 탈퇴 및 서비스 미사용', 0.546)"
미납요금17일까지 내겠습니다,"('과납', 0.879)","('SKT 미납센터 연락처', 0.874)","('미납 이용정지', 0.843)",1,SKT미납센터연락처(0.47341612),미납이용정지(0.44967355),미납직권해지(0.4199815),"('SKT 미납센터 연락처', 0.496)","('요금 납부일 확인 방법', 0.456)","('미납 이용정지', 0.442)"
제가 신청한거 아닌데 신청이되었어요,"('신규가입 구비서류', 0.773)","('휴대폰 결제 이용가능 대상', 0.764)","('예약 관련', 0.76)",1,이용계약증명서발급방법(0.4509632),이동전화가입제한(0.44497022),"가입상담예약방법(0.440577)
","('명의도용', 0.411)",,
네 상담해주셔서 감사합니다,"('전화 상담사 연결', 0.941)","('A.', 0.938)","('SK텔레콤 고객센터 운영 시간', 0.806)",1,전화상담사연결(0.46789605),SK텔레콤고객센터운영시간(0.46372245),타통신사고객센터(0.4483674),"('채티 서비스', 0.657)","('전화 상담사 연결', 0.466)","('공부 관련', 0.454)"
임정호 901031,"('등기문자', 0.647)","('채티 서비스', 0.631)","('멜론 익스트리밍', 0.614)",1,임대신청방법(0.456982015),"임대제도(0.44993855)
",,,,
미납요금이 있나 궁금해서요!,"('SKT 미납센터 연락처', 0.915)","('미납 이용정지', 0.891)","('과납', 0.886)",1,SKT미납센터연락처(0.48547385),미납이용정지(0.45979637),미납직권해지(0.43735035),"('SKT 미납센터 연락처', 0.654)","('미납 이용정지', 0.608)","('요금 수납 내역 확인 방법', 0.55)"
신청한적이 없는데요?,"('신규가입 구비서류', 0.751)","('휴대폰 결제 이용가능 대상', 0.733)","('구독 서비스', 0.709)",1,이용계약증명서발급방법(0.43018788),가입상담예약방법(0.40435225),"이동전화가입제한(0.403979)
","('부가서비스 가입내역 확인 방법', 0.586)","('등록 관련', 0.498)","('신규가입 구비서류', 0.424)"
콘텐츠이용을. 해제했는데 요금이 나와서 확인하게요,"('휴대폰결제 이용 제한 해제 방법', 0.957)","('데이터 로밍 차단 해지', 0.954)","('데이터 로밍 차단 시 통화 문자 이용', 0.953)",1,콘텐츠이용료결제취소방법(0.4835218),콘텐츠이용료구매내역확인방법(0.4459604),콘텐츠이용료가능대상(0.44201648),"('콘텐츠 이용료 결제 취소 방법', 0.603)","('콘텐츠 이용료 구매내역 확인 방법', 0.577)","('콘텐츠 이용료 가능 대상', 0.505)"
말일.30일까지요. 그안에도 되면빠른시이내에입금가능해요,"('요금 납부일 변경 방법', 0.739)","('휴대폰 개통일 확인 방법', 0.729)","('로밍 일시 허용', 0.714)",1,"이용계약증명서발급방법(0.83479196)
",,,"('요금 납부일 변경 방법', 0.602)","('요금 납부일 확인 방법', 0.566)","('단말기 할부금 중도 납부 방법', 0.446)"
내일 완납 가능합니당.,"('요금 부분 납부 방법', 0.78)","('단말기 할부금 중도 납부 방법', 0.78)","('과납', 0.777)",1,부가사용금액(0.42596225),과납(0.41974715),편의점요금납부(0.41502325),"('요금 납부일 확인 방법', 0.528)","('단말기 할부금 중도 납부 방법', 0.519)","('요금 납부일 변경 방법', 0.487)"
네 1575문자로 발송부탁드립니다,"('전화 상담사 연결', 0.804)","('A.', 0.769)","('SK텔레콤 고객센터 운영 시간', 0.753)",1,"일500건SMS발송량제한(0.8718578)
",,,"('Tworld 문자 보내기 이용 방법', 0.443)","('T map 가이드 문자 보내기', 0.409)",
20일쯤 납부 가능합니다,"('요금 부분 납부 방법', 0.821)","('과납', 0.815)","('미납 직권해지', 0.737)",1,과납(0.44728115),부가사용금액(0.4457943),요금납부일확인방법(0.443975775),"('단말기 할부금 중도 납부 방법', 0.641)","('요금 납부일 확인 방법', 0.607)","('요금 납부일 변경 방법', 0.578)"
요금이 전달에비해 많이나왔어요,"('요금 부분 납부 방법', 0.876)","('장비변상금', 0.852)","('실시간 요금 상세 내역', 0.825)",1,요금부분납부방법(0.44945207),요금수납내역확인방법(0.44349175),세금계산서신청방법(0.43432155),"('실시간 요금 상세 내역', 0.459)","('요금제문의', 0.411)","('데이터통화료 상한제도', 0.401)"
미납요금  가상계좌 보내주세요,"('Sk pay', 0.649)","('Sk pay 결제 방법', 0.599)","('Sk pay 가맹점 확인 방법', 0.593)",1,SKT미납센터연락처(0.48909348),미납직권해지(0.45746845),미납이용정지(0.4548747),"('SKT 미납센터 연락처', 0.541)","('수납이력서 재발행 방법', 0.44)",
임호 870115 입니다,"('내 휴대폰 기종 확인', 0.763)","('T_PC원스톱', 0.737)","('개통 관련', 0.725)",1,임대제도(0.41963443),"임대신청방법(0.418257)
",,"('060비밀번호통화 서비스', 0.45)",,
아니면 혹시 개통 바로 할 수 있는 방법이 있나요?,"('개통 관련', 0.925)","('개통 대리점 조회 방법', 0.78)","('갤럭시 기기 변경 상담', 0.761)",1,"이동전화가입제한(0.81324077)
",,,"('개통 관련', 0.789)","('신규가입 구비서류', 0.637)","('가입상담 예약 방법', 0.455)"
혹시 마납요금 납부가능일 다음달로 등록 가능한가요? 이미 기 납부를 많이 한 상태라서요,"('T전화 투데이 통화 추천', 0.651)","('T전화 투데이', 0.632)","('요금안내서 Bill Letter', 0.612)",1,편의점요금납부(0.41912015),과납(0.417302965),요금수납내역확인방법(0.4106357),"('요금 납부일 변경 방법', 0.485)","('요금 납부일 확인 방법', 0.458)",
저 지금 남아있는 미납요금 다음달 8일까지,"('SKT 미납센터 연락처', 0.903)","('미납 이용정지', 0.878)","('과납', 0.84)",1,SKT미납센터연락처(0.4438305),"미납이용정지(0.4408481)
",,"('SKT 미납센터 연락처', 0.617)","('미납 이용정지', 0.557)","('과납', 0.551)"
일정도 입니다.,"('퀵보이스', 0.807)","('A.', 0.745)","('영업장 위치 확인', 0.718)",1,일시정지해제방법(0.44768935),유선일시정지신청/해제방법(0.4155839),"일시정지(0.41016345)
","('실시간 요금 상세 내역', 0.408)",,
저 우선  한달치만 먼저 납부 가능할까요?,"('통신과금 선결제', 0.8)","('통신과금 선결제 이용 방법', 0.793)","('개통 관련', 0.73)",1,부가사용금액(0.45434455),요금부분납부방법(0.44324815),편의점요금납부(0.4374478),"('요금 부분 납부 방법', 0.612)","('통신과금 선결제 이용 방법', 0.595)","('단말기 할부금 중도 납부 방법', 0.5)"
자동 가입인가요?,"('자동연결 유료 서비스', 0.989)","('자동연결 유료 서비스 신청 방법', 0.988)","('자동연결 유료 서비스 이용 방법', 0.988)",1,이용계약증명서발급방법(0.44741982),이동전화가입제한(0.4413076),"가입상담예약방법(0.43287555)
","('Msafer 서비스', 0.509)","('부가서비스 가입내역 확인 방법', 0.502)","('등록 관련', 0.492)"
그럼제가 두달 미납인건가요?,"('SKT 미납센터 연락처', 0.925)","('미납 이용정지', 0.89)","('과납', 0.872)",1,SKT미납센터연락처(0.41987148),"미납이용정지(0.40630305)
",,"('SKT 미납센터 연락처', 0.53)","('미납 이용정지', 0.528)","('과납', 0.526)"
그럼 매달 이 금액으로21개월 남은건가요?,"('일자별 잔여통화안내', 0.853)","('일자별 잔여통화안내 날짜 변경 방법', 0.853)","('단말기 할부금 중도 납부 방법', 0.85)",1,실시간요금상세내역(0.4111883),"단말기할부금중도납부방법(0.408887475)
",,"('요금 납부일 확인 방법', 0.479)","('단말기 잔여 할부 조회 방법', 0.418)",
앱으로 하려니 공동인증서 필요하다고 나와서요,"('공동인증서 등록 방법', 0.978)","('휴대폰인증서서비스', 0.97)","('휴대폰인증서 서비스 해지 방법', 0.964)",1,공동인증서등록방법(0.492726775),휴대폰인증서서비스(0.49096602),유선인터넷웹보안인증서문제조치방법(0.46892953),"('공동인증서 등록 방법', 0.829)","('휴대폰인증서서비스', 0.559)","('인증 관련', 0.499)"
차하은 000504 혹시 미납요금 이번주 금요일까지 이틀 더 연장은 어려울까요?!,"('미납 이용정지', 0.877)","('SKT 미납센터 연락처', 0.877)","('과납', 0.813)",1,SKT미납센터연락처(0.46869225),"미납이용정지(0.450464515)
",,"('SKT 미납센터 연락처', 0.572)","('SKT 해지 미납센터 연락처', 0.456)","('미납 이용정지', 0.408)"
미납요금때문에 연락드렸는데요,"('과납', 0.909)","('SKT 미납센터 연락처', 0.905)","('미납 이용정지', 0.852)",1,SKT미납센터연락처(0.489083825),미납이용정지(0.4568767),미납직권해지(0.44488138),"('SKT 미납센터 연락처', 0.725)","('미납 이용정지', 0.65)","('가산금', 0.628)"
114로 전화하면 해지되나여,"('해지 미환급금 조회 방법', 0.981)","('예상 해지 금액', 0.978)","('SKT 해지 미납센터 연락처', 0.976)",1,이동전화해지방법(0.48307895),자동납부해지방법(0.4547981),"유선해지방법(0.4319689)
","('이동전화 해지 방법', 0.626)","('SKT 해지 미납센터 연락처', 0.514)","('통화중대기 서비스 해지 방법', 0.437)"
이달20일로약속했는데요  제가바다에 나가있어서요,"('개통 관련', 0.725)","('B tv OCEAN', 0.714)","('0 청년 다이렉트 요금제', 0.706)",1,"요금약정할인제도(0.8563855)
",,,"('요금 납부일 변경 방법', 0.424)",,
금액과,"('구매 관련', 0.82)","('A.', 0.8)","('퀵보이스', 0.787)",1,부가사용금액(0.4511937),편의점요금납부(0.44158525),과납(0.42114695),"('요금제문의', 0.584)","('결제 관련', 0.535)","('단말기 할부', 0.52)"
안녕하세요 올케어플러스4 F 지금 가입 중인데 해지하고 싶습니다,"('분실 F4', 0.738)","('파손2 F', 0.727)","('FLO 유료 이용권 해지 방법', 0.702)",1,TAll케어플러스3파손F(0.4626133),TAll케어플러스3파손80(0.46043992),TAll케어플러스3파손40(0.45950925),"('단말보험 해지 방법', 0.552)","('T All케어플러스 분실F4', 0.522)","('T All케어플러스3 파손F', 0.518)"
다음주 화요일까지 납부가능합니다,"('요금 부분 납부 방법', 0.826)","('과납', 0.811)","('미납 직권해지', 0.724)",1,요금납부일확인방법(0.439487815),부가사용금액(0.435539635),과납(0.4261071),"('단말기 할부금 중도 납부 방법', 0.616)","('요금 납부일 확인 방법', 0.596)","('요금 납부일 변경 방법', 0.569)"
어떻게 주민번호를 등록하죠,"('주민등록번호 정정', 0.98)","('번호도용문자차단', 0.895)","('번호도용문자차단 신청 방법', 0.883)",1,주민등록번호정정(0.4867222),요금안내서주소변경방법(0.468683275),주식투자노트해지방법(0.45934815),"('주민등록번호 정정', 0.734)","('T아이디 가입 방법', 0.481)","('휴대폰번호보호 신청방법', 0.464)"
스마트콜은먼가요,"('마이스마트콜2', 0.982)","('스마트콜Pick', 0.946)","('SKT 콜렉트콜 서비스', 0.94)",1,스마트콜Pick(0.48895028),스마트콜Pick신청방법(0.48876805),T안심콜(0.4710715),"('스마트콜Pick', 0.677)","('스마트 사인', 0.545)","('마이스마트콜2', 0.537)"
약정할인 해주세요,"('요금약정 할인제도', 0.964)","('선택약정 할인제도 가입 조건', 0.891)","('T쿠폰', 0.877)",1,"요금약정할인제도(0.816203)
",,,"('요금약정 할인제도', 0.703)","('데이터결합약정할인 신청 방법', 0.535)","('T지원금 약정', 0.497)"
한달요금 납부햇는데 나머지 한달요금은 일주일만,"('데이터로밍 일시허용', 0.78)","('로밍 일시 허용', 0.723)","('연장 관련', 0.695)",1,과납(0.459297865),부가사용금액(0.452257215),편의점요금납부(0.4242516),"('요금 부분 납부 방법', 0.442)","('요금 납부일 변경 방법', 0.432)",
