query,MTL_rank1,MTL_rank2,MTL_rank3
그럼 이번호는 말까지 연장이 안되나요?,"('연장 관련', 0.568)","('번호변경안내 서비스 연장 방법', 0.401)",
조금전에 자동 로그인 ?그걸신청한것 같아요,"('로그인 관련', 0.511)","('통신과금 자동 선결제 신청 방법', 0.458)","('자동연결 유료 서비스 신청 방법', 0.426)"
임용순  650627,"('무료음성64', 0.432)","('다이렉트5G 62', 0.407)","('5G언택트 62', 0.406)"
다음달이후엔 로밍안하면 시니어요금으로 나오나여,"('시니어 요금제', 0.46)",,
부가서비스 요금중에서요,"('부가서비스 가입내역 확인 방법', 0.688)","('부가 사용 금액', 0.634)","('통신서비스 요금', 0.532)"
오늘까지 전체 다 납부해야 할까요?,"('요금 부분 납부 방법', 0.614)","('단말기 할부금 중도 납부 방법', 0.607)","('요금 수납 내역 확인 방법', 0.549)"
네 휴대폰 소액결제를 못하게 할수 있나요,"('휴대폰 결제 이용 제한 방법', 0.744)","('휴대폰결제이용차단신청방법', 0.712)","('휴대폰결제 이용차단', 0.678)"
매월11일 납부가능 합니다,"('요금 납부일 확인 방법', 0.639)","('요금 납부일 변경 방법', 0.588)","('요금 수납 내역 확인 방법', 0.534)"
납부등록일때문에 연락드렸는데,"('요금 납부일 확인 방법', 0.811)","('요금 납부일 변경 방법', 0.712)","('휴대폰 개통일 확인 방법', 0.459)"
이전번호사용하려면 어찌하나요,"('번호 변경 방법', 0.508)","('요금안내서 주소 변경 방법', 0.499)",
인터넷 요금은 얼마인가요,"('인터넷 관련', 0.714)","('유선 인터넷 요금제', 0.708)","('T플러스B인터넷', 0.557)"
납부가능일 11일이요,"('요금 납부일 확인 방법', 0.776)","('요금 납부일 변경 방법', 0.687)","('요금 수납 내역 확인 방법', 0.558)"
고객센터로 해지신청 육선으로만 돼나요?,"('이동전화 해지 방법', 0.503)",,
데이터 쿠폰이 왜 없나요,"('데이터 추가 사용 방법', 0.628)","('데이터 문의 관련', 0.605)","('데이터 리필하기 쿠폰 제공', 0.538)"
약정할인이 지나서 많이 나온건가요?,"('요금약정 할인제도', 0.424)",,
네 요금 중 모바일금액이 어디에서 발생했는지. 기억이 안나네요,"('요금 수납 내역 확인 방법', 0.49)","('실시간 요금 상세 내역', 0.456)",
리필이왜 안되는지요,"('데이터 리필하기 사용 방법', 0.796)","('데이터 리필하기 쿠폰 제공', 0.712)","('데이터 리필하기 쿠폰 취소', 0.502)"
네  감사합니다   통화로  할께요,"('전화 상담사 연결', 0.767)","('SK텔레콤 고객센터 운영 시간', 0.495)","('채티 서비스', 0.44)"
내일 완납 해드릴게요.,"('단말기 할부금 중도 납부 방법', 0.598)","('요금 납부일 확인 방법', 0.552)","('요금 납부일 변경 방법', 0.487)"
등록은되어 있습니다,"('등록 관련', 0.69)","('부가서비스 가입내역 확인 방법', 0.579)","('Msafer 서비스', 0.46)"
미납요금하고,"('SKT 미납센터 연락처', 0.715)","('미납 이용정지', 0.659)","('과납', 0.645)"
타인이 연락하여 진행해드리기는 어려운 상황이군요,"('전화 상담사 연결', 0.55)","('채티 서비스', 0.453)","('행복AS', 0.435)"
문자로 오긴 왔는데 부탁드립니다,"('메시지 관련', 0.621)","('제조사 AS 센터 연락처', 0.558)","('전화 상담사 연결', 0.514)"
미납 이번달 말 가능할까요?,"('SKT 미납센터 연락처', 0.698)","('요금 수납 내역 확인 방법', 0.588)","('과납', 0.563)"
010.8638.4678.  지금까지 미납요금 부탁드립니다,"('SKT 미납센터 연락처', 0.675)","('미납 이용정지', 0.413)",
"30일날 납부가 가능해서 연장 가능한지 문의를 했는데,","('요금 납부일 변경 방법', 0.58)","('연장 관련', 0.552)","('요금 납부일 확인 방법', 0.544)"
요금관계로 네필요합니다,"('요금제문의', 0.482)","('추가 관련', 0.432)",
번호알려주세요,"('넘버플러스2 번호 확인 방법', 0.483)","('발신번호 관련', 0.479)","('번호변경안내 서비스', 0.459)"
일부분 내고 정지일정을 미룰수 없나요?,"('요금 부분 납부 방법', 0.63)",,
안녕하세요~ 11월30일에 전액납부 가능한데 가능할까요?,"('단말기 할부금 중도 납부 방법', 0.667)","('요금 부분 납부 방법', 0.501)","('요금 납부일 변경 방법', 0.497)"
미납1개월만 납부가능해요,"('요금 부분 납부 방법', 0.589)","('미납 이용정지', 0.54)","('SKT 미납센터 연락처', 0.502)"
부과서비스 이용 내역좀 알려주세요,"('요금 수납 내역 확인 방법', 0.743)","('부가서비스 가입내역 확인 방법', 0.47)","('수납이력서 재발행 방법', 0.453)"
지금 530 넝었는데 어떻게 되는 겁니까 자동 종료됩니까,,,
저 우선  한달치만 먼저 납부 가능할까요?,"('요금 부분 납부 방법', 0.618)","('통신과금 선결제 이용 방법', 0.608)","('단말기 할부금 중도 납부 방법', 0.586)"
제가 통합납부하고 있는 번호가 하나 더 있는데,"('통합청구서', 0.487)","('Tworld 회선 관리', 0.478)","('자동납부번호 확인 방법', 0.463)"
납부가능일 말일로부탁드립니다,"('요금 납부일 확인 방법', 0.767)","('요금 납부일 변경 방법', 0.766)","('단말기 할부금 중도 납부 방법', 0.533)"
18일날에  납부가능할꺼같은데  어떻게  안될까요?,"('요금 납부일 변경 방법', 0.705)","('요금 납부일 확인 방법', 0.615)","('단말기 할부금 중도 납부 방법', 0.545)"
그럼 지금 이 번호로 이용한 소액결제 금액 좀 알려주세요,"('실시간 요금 상세 내역', 0.502)","('콘텐츠 이용료 구매내역 확인 방법', 0.474)","('통화 내역 열람 방법', 0.417)"
요금이 많아서요,"('요금제문의', 0.696)","('SK텔레콤 할인 혜택', 0.481)","('추가 관련', 0.449)"
임순종 930201,,,
개인사정으로 11월27일까지납부가능,"('요금 납부일 변경 방법', 0.546)","('요금 납부일 확인 방법', 0.472)","('자동납부 해지 방법', 0.466)"
해지 시켜주세요,"('이동전화 해지 방법', 0.86)","('철회', 0.558)","('퀵보이스 해지 방법', 0.511)"
1gb 데이터 충전,"('baro 1GB 충전', 0.824)","('T로밍 데이터 충전', 0.485)","('팅 요금 충전 방법', 0.464)"
포인트확인부탁함니다,"('T멤버십 포인트', 0.646)","('T멤버십 T플러스포인트 조회 방법', 0.605)","('레인보우 포인트 확인 방법', 0.584)"
농협이나 우체국은행으로요.,"('영업장 위치 확인', 0.48)","('편의점 요금 납부', 0.409)",
선택약정할인제도신청합니다,"('선택약정 할인제도 가입 조건', 0.524)","('요금약정 할인제도', 0.5)","('데이터결합약정할인 신청 방법', 0.431)"
지금 제가 정확한 날짜가 써있는 게 집에 있어서요 제가 한달 정도 기존 요금제를 유지했었습니다,,,
그럼 1기가 충전 부탁드려요),"('baro 1GB 충전', 0.6)","('데이터 추가 사용 방법', 0.555)","('팅 요금 충전 방법', 0.534)"
선택약정 재가이벌래요,"('선택약정 할인제도 재가입 조건', 0.811)","('선택약정 할인제도 해지 방법', 0.508)","('군입대 장기 일시 정지 재신청 방법', 0.47)"
회원가입 먼저 해라고 하셧잖아요 로그인 안되서요,"('로그인 관련', 0.542)","('로그인 보호서비스 신청 방법', 0.427)",
조금더 시간 을 줄수없나요?,"('SK텔레콤 고객센터 운영 시간', 0.519)","('채티 서비스', 0.466)","('추가 관련', 0.41)"
제가 가입한 비용인가요?,"('가입비', 0.567)","('실시간 요금 상세 내역', 0.439)","('로밍 요금 확인 시점', 0.405)"
선택약정가입하고싶습니다,"('선택약정 할인제도 가입 조건', 0.563)","('선택약정 할인 중복 가입 가능 상품', 0.464)","('선택약정 할인제도 해지 방법', 0.424)"
T 올케어플러스파손 부가서비스 해지요청합니다,"('단말보험 해지 방법', 0.739)","('T All케어플러스 포인트 서비스 해지 방법', 0.601)","('T 아이폰케어 해지 방법', 0.589)"
114 고객센터문의해야한다는거죠?,"('전화 상담사 연결', 0.593)","('T전화 T114 이용 방법', 0.553)","('타 통신사 고객센터', 0.405)"
안녕하세요. 납부 요일을 제가 15일로 설정했는데 어제 이용정지 문자가 왔습니다..,"('미납 이용정지', 0.506)","('요금 납부일 변경 방법', 0.482)","('요금 납부일 확인 방법', 0.477)"
위에 번호 적었어요,"('제조사 AS 센터 연락처', 0.577)","('태블릿 번호 확인 방법', 0.451)","('자동납부번호 확인 방법', 0.424)"
네 잘 알겠습니다 여기서 인터넷티비상담은 안하시죠?,"('B tv 실시간 채널', 0.442)","('B tv', 0.441)","('SK브로드밴드 고객센터', 0.412)"
미납요금 두달중한달치만먼저낼께요,"('요금 부분 납부 방법', 0.599)","('단말기 할부금 중도 납부 방법', 0.519)","('SKT 미납센터 연락처', 0.495)"
혹시 제가 부가적으로 납부하고 있는 요금중에,"('부가 사용 금액', 0.719)","('부가서비스 가입내역 확인 방법', 0.568)","('부가통화', 0.46)"
지난달 선택약정이 만료가된다는 알람을 받긴했었는데요,"('선택약정 할인제도 만료 SMS 발송 시기', 0.839)","('선택약정 할인제도 해지 방법', 0.462)",
혹시 자동통장에서 인출 가능하실까요,,,
기업은행이용,"('Sk pay 가맹점 확인 방법', 0.404)",,
전화기에서 변경방법,"('제조사 AS 센터 연락처', 0.701)","('T전화 설정 방법', 0.61)","('휴대폰 관련', 0.47)"
장기 쿠폰은........???,"('장기가입고객 할인제도', 0.525)","('장기일시정지', 0.473)",
미납요금확인요,"('SKT 미납센터 연락처', 0.718)","('요금 수납 내역 확인 방법', 0.609)","('미납 이용정지', 0.587)"
제가 요금 내는데도 안되나요?,"('요금 부분 납부 방법', 0.468)","('요금제문의', 0.435)","('SK텔레콤 할인 혜택', 0.415)"
20분 전이구요~,"('SK텔레콤 고객센터 운영 시간', 0.476)","('요금 납부일 확인 방법', 0.407)","('통화중대기 서비스', 0.401)"
네 우편명세서 집으로 보내주세요?,"('요금안내서 변경 방법', 0.639)","('요금안내서 발행유형 자동 변경 해제 방법', 0.627)","('요금안내서 재발행 방법', 0.595)"
네 핸드폰 원래 모드로요,"('제조사 AS 센터 연락처', 0.666)","('휴대폰 관련', 0.517)","('T전화 설정 방법', 0.465)"
부가세가 많이나오는거 같아서요,"('세금계산서 신청 방법', 0.538)","('세금계산서 재발행 방법', 0.462)","('부가 사용 금액', 0.427)"
실시간이용요금 전부 합쳐서 대략적으로 다음달에 얼마나오나요?,"('실시간 요금 상세 내역', 0.717)",,
어제 간략하게 상담원분과 통화했습니다,"('전화 상담사 연결', 0.673)","('SK텔레콤 고객센터 운영 시간', 0.621)","('제조사 AS 센터 연락처', 0.453)"
강재민 031229,"('Msafer 서비스', 0.43)",,
기계가 2개로 나오는데,"('고장 실패 관련', 0.437)","('제조사 AS 센터 연락처', 0.434)","('추가 관련', 0.408)"
총 납부해야 할 금액이 2617060원 인가요??,"('요금 수납 내역 확인 방법', 0.481)",,
정지일을 조금만 미룰수없나요?,"('정지 관련', 0.58)","('정지 해제 관련', 0.542)","('일시정지 해제 방법', 0.459)"
좀전 콘텐츠 이용의 상세내용을 알고싶어요,"('콘텐츠 이용료 구매내역 확인 방법', 0.654)",,
그전에납입할수잇으면 바로해드리겠습니다,"('요금 납부일 변경 방법', 0.565)","('단말기 할부금 중도 납부 방법', 0.528)","('요금 납부일 확인 방법', 0.49)"
듀얼번호 문의드릴려궁,"('넘버플러스2 번호 확인 방법', 0.625)","('넘버플러스2', 0.483)","('넘버플러스2 신청 방법', 0.425)"
당월청구요금은 언제이체되나요,"('요금 납부일 확인 방법', 0.582)","('요금 수납 내역 확인 방법', 0.501)","('요금 납부일 변경 방법', 0.493)"
대리점가서카드납부할께요,"('편의점 요금 납부', 0.543)","('상품권 수납', 0.451)","('T로밍 카드 결제 수단', 0.442)"
다 해지 요청드린것 같은데,"('이동전화 해지 방법', 0.645)","('철회', 0.506)","('예상 해지 금액', 0.44)"
안녕하세요? 다음달 부터 적용되는 요금액을 알고 싶어요.,"('요금제문의', 0.549)","('SK텔레콤 할인 혜택', 0.45)","('실시간 요금 상세 내역', 0.433)"
지금현금없어서 못내요 10일날 낼게요,"('단말기 할부금 중도 납부 방법', 0.646)","('단말기 잔여 할부 조회 방법', 0.442)","('요금 납부일 변경 방법', 0.427)"
미납요금때문에 연락드렸는데요,"('SKT 미납센터 연락처', 0.756)","('가산금', 0.623)","('미납 이용정지', 0.604)"
문자온거 확인해보니까,"('메시지 관련', 0.724)","('문자매니저', 0.57)","('MMS', 0.56)"
이번호만 주십시요,"('구매 관련', 0.451)","('번호 변경 방법', 0.425)","('휴대폰 기기변경 방법', 0.41)"
네 하나은행 부탁드립니다,"('영업장 위치 확인', 0.44)",,
제가 지금 요금 미납중인데요,"('SKT 미납센터 연락처', 0.681)","('미납 이용정지', 0.662)","('가산금', 0.588)"
선택약정할인이 유지되어있는지 궁금해서요!,"('선택약정 할인제도 가입 가능 단말기 조회 방법', 0.538)","('선택약정 할인제도 승계 조건', 0.425)","('선택약정 할인제도 만료 SMS 발송 시기', 0.415)"
그 114에서 문자가왔는데,"('메시지 관련', 0.597)","('제조사 AS 센터 연락처', 0.526)","('문자매니저', 0.521)"
그걸 해지하고프면,"('이동전화 해지 방법', 0.823)","('퀵보이스 해지 방법', 0.533)","('철회', 0.531)"
그럼  핸드폰 부가내역 (핸드폰결제) 미리 결제 할수있나요?,"('통신과금 선결제 이용 방법', 0.682)","('휴대폰결제 이용동의 신청 방법', 0.518)","('Sk pay 결제 방법', 0.476)"
114로 전화 걸면 될까요?,"('전화 상담사 연결', 0.704)","('T전화 T114 이용 방법', 0.49)","('제조사 AS 센터 연락처', 0.419)"
혹시 제가미납된금액을 다냇어요,"('과납', 0.577)","('요금 수납 내역 확인 방법', 0.55)","('해지 미환급금 조회 방법', 0.542)"
문자 보내요,"('메시지 관련', 0.837)","('MMS', 0.6)","('문자메시지 서비스', 0.583)"
어제 미납가능일 27일이라고 했는더요,"('요금 납부일 확인 방법', 0.585)","('SKT 미납센터 연락처', 0.551)","('미납 이용정지', 0.51)"
괌 여행 3일 입니다,"('T괌사이판 요금제 잔여량 확인', 0.586)","('T괌사이판 옵션 변경', 0.574)","('가족 로밍', 0.43)"
이번달요금 부가서비스 내역좀 볼수있나요?,"('부가서비스 가입내역 확인 방법', 0.72)","('부가 사용 금액', 0.53)","('실시간 요금 상세 내역', 0.455)"
즉시결제 하고 싶은데 가능할까요?,"('Sk pay 결제 방법', 0.55)","('통신과금 선결제 이용 방법', 0.537)","('결제 관련', 0.498)"
지금은 미납요금이 없는걸로 알고있는데,"('미납 이용정지', 0.651)","('SKT 미납센터 연락처', 0.649)","('요금 수납 내역 확인 방법', 0.566)"
납부가능일등록하고싶은데요,"('요금 납부일 확인 방법', 0.76)","('요금 납부일 변경 방법', 0.747)","('수납이력서 재발행 방법', 0.479)"
10월 요금내역 보내주세요,"('요금안내서 재발행 방법', 0.546)","('수납이력서 재발행 방법', 0.502)","('요금 수납 내역 확인 방법', 0.441)"
어떻데 진행하면 될까요요,"('퀵보이스 이용 방법', 0.446)",,
제 요금제 11월부터  월 얼마인가요,"('요금제문의', 0.727)","('요금제 추천', 0.481)","('데이터통화료 상한제도', 0.465)"
11월 청구분 보내주시면 감사하겠습니다,"('요금안내서 재발행 방법', 0.644)","('수납이력서 재발행 방법', 0.505)","('요금 납부일 확인 방법', 0.425)"
콘텐츠이용을. 해제했는데 요금이 나와서 확인하게요,"('콘텐츠 이용료 결제 취소 방법', 0.661)","('콘텐츠 이용료 구매내역 확인 방법', 0.545)","('휴대폰결제 이용 제한 해제 방법', 0.476)"
미납일 등록,"('미납 이용정지', 0.522)","('SKT 미납센터 연락처', 0.508)",
제가번호를 고를수있는건가요?,,,
미납요금 말일이나1일에 결제하려구요,"('요금 납부일 변경 방법', 0.672)","('요금 납부일 확인 방법', 0.581)","('단말기 할부금 중도 납부 방법', 0.55)"
아니용  계좌번호는 있습니다.,"('자동납부번호 확인 방법', 0.45)","('제조사 AS 센터 연락처', 0.437)","('채티 서비스', 0.402)"
이제 로밍 문자 떴어요,"('T로밍 도착알리미', 0.62)","('로밍 문자 사용량 SMS', 0.566)","('로밍 중 인증 문자 수신', 0.565)"
제가 프라임 이용중인데요,"('5GX 프라임', 0.723)","('PASS 프라임 서비스', 0.552)","('5GX 프라임플러스', 0.478)"
납부가능일 설정하려구요,"('요금 납부일 변경 방법', 0.869)","('요금 납부일 확인 방법', 0.781)","('유선 요금 납부일 변경 방법', 0.49)"
82세분이 톡으로 상담가능할까요?,"('T All케어플러스 80', 0.453)","('T끼리 어르신', 0.418)",
입금가능날자 21일로하고싶습니다,"('요금 납부일 변경 방법', 0.72)","('요금 납부일 확인 방법', 0.578)",
회원가입 다햇고 로그인 안된다고 말씀드렷는데요,"('로그인 관련', 0.7)","('고장 실패 관련', 0.436)",
22년9월~최근 납부한 때 까지 입니다.,"('요금 납부일 확인 방법', 0.705)","('요금 수납 내역 확인 방법', 0.636)","('수납이력서 재발행 방법', 0.501)"
대만에서 로밍 이용하고 싶은데요,"('가족 로밍', 0.51)","('미성년자 로밍', 0.481)",
선택약정기간 연장처리관련입니다,"('선택약정 할인제도 약정 기간 변경', 0.705)","('선택약정 할인제도 만료 SMS 발송 시기', 0.636)","('연장 관련', 0.554)"
네   계좌 알려주세요,"('자동납부번호 확인 방법', 0.52)",,
아내 요금 문의 합니다.,"('다른 번호 문의', 0.593)","('자녀 요금 조회 방법', 0.495)","('가족 관련', 0.483)"
당월청구요금이,"('후청구 요금', 0.446)","('요금제문의', 0.435)","('단말기 할부금 중도 납부 방법', 0.42)"
아 안녕하세요 제가 미납요금당월요금 한번에 입금했는데 자동이체로 빠져나가서요~,"('과납', 0.574)","('자동납부 해지 방법', 0.533)","('요금 수납 내역 확인 방법', 0.527)"
제가 10월초에 납부한 금액이 몇월분인지 문의하려구요,"('요금 납부일 확인 방법', 0.732)","('요금 수납 내역 확인 방법', 0.613)","('요금 납부일 변경 방법', 0.472)"
바로가입가능할까요,"('신규가입 구비서류', 0.502)","('가입상담 예약 방법', 0.47)","('PASS 신청 방법', 0.458)"
17일날 납부가 가능해요,"('요금 납부일 확인 방법', 0.64)","('요금 납부일 변경 방법', 0.614)","('단말기 할부금 중도 납부 방법', 0.598)"
미납금액납부14일까지낼려고하는데요,"('단말기 할부금 중도 납부 방법', 0.636)","('자동납부 해지 방법', 0.51)","('SKT 미납센터 연락처', 0.5)"
11월19일까지 입금하겠습니다,"('단말기 할부금 중도 납부 방법', 0.579)","('요금 납부일 확인 방법', 0.476)","('요금 납부일 변경 방법', 0.433)"
연결계좌로요,"('연결 관련', 0.56)","('연동 관련', 0.512)",
3개월분 중에 금액적은 10월분 먼저 납부가능한가요?,"('요금 부분 납부 방법', 0.6)","('요금 납부일 변경 방법', 0.565)","('단말기 할부금 중도 납부 방법', 0.547)"
해지피료한자료문이,"('SKT 해지 미납센터 연락처', 0.465)","('이동전화 해지 방법', 0.443)",
해서 ...근데 오토,"('오토레터', 0.647)","('오토콜', 0.607)","('오토컬러링', 0.528)"
혹시 지금은 휴대폰소액결제는 이용안되나요?,"('휴대폰결제 이용 제한 해제 방법', 0.659)","('휴대폰 결제 이용 제한 방법', 0.611)","('휴대폰결제이용차단신청방법', 0.608)"
그전에 납부도 가능할까요?,"('단말기 할부금 중도 납부 방법', 0.651)","('요금 납부일 변경 방법', 0.611)","('요금 납부일 확인 방법', 0.582)"
이번달 요금나온것중에 부가사용료 9000원에대해 설명좀 부탁드립니다,"('부가 사용 금액', 0.742)","('부가서비스 가입내역 확인 방법', 0.43)","('부가통화', 0.421)"
가입이 안되어 있나요,"('부가서비스 가입내역 확인 방법', 0.569)","('등록 관련', 0.493)","('이동전화 가입제한', 0.476)"
지금 요급제 변경 하면 요급은 똑같은 나오나요.,"('요금제문의', 0.492)","('VIP 요금제 프로그램', 0.451)",
계좌번호  알려드릴게요,"('자동납부번호 확인 방법', 0.523)",,
혹시 기변가능기간이언제인가요,"('휴대폰 기기변경 방법', 0.711)","('5G 기기 변경 방법', 0.61)","('중고 기기변경 방법', 0.565)"
가입해야하는건가요,"('단말 보험 가입 방법', 0.492)","('신규가입 구비서류', 0.446)","('가입상담 예약 방법', 0.408)"
요번달 요금이요,"('실시간 요금 상세 내역', 0.646)","('요금제문의', 0.632)","('SK텔레콤 할인 혜택', 0.443)"
로그인블러스든 뭐든 다해지해주시고 다음부턴 부가서비스는 아예가입안되게 해주면 좋겠는데요,"('로그인 관련', 0.473)","('로그인보호서비스 해지 방법', 0.463)","('로그인플러스 해지 방법', 0.415)"
미납 금액을,"('SKT 미납센터 연락처', 0.68)","('과납', 0.652)","('미납 이용정지', 0.651)"
태국 로밍?,"('미성년자 로밍', 0.597)","('가족 로밍', 0.588)",
통화하고십다,"('전화 상담사 연결', 0.805)","('채티 서비스', 0.439)","('SK텔레콤 고객센터 운영 시간', 0.409)"
초과될때마다 그대로 나오던데요,"('가산금', 0.454)","('추가 관련', 0.415)","('과납', 0.415)"
요금을 내려고 하는데요~~,"('요금 수납 내역 확인 방법', 0.504)","('요금제문의', 0.499)","('요금 부분 납부 방법', 0.496)"
해야할 일있어서 인증이 필요해서요.. 지금 핸드폰 사용 가능한지도 여쭙고 싶어요,"('인증 관련', 0.75)","('PASS', 0.538)","('PASS 신청 방법', 0.524)"
번호보호 서비스도 해지부탁드려요,"('휴대폰번호보호 해지 방법', 0.841)","('휴대폰 보호 서비스 해지 방법', 0.557)","('휴대폰가족보호 해지 방법', 0.534)"
T월드같은,"('Tworld', 0.862)","('Tworld 회선 관리', 0.493)","('휴대폰 관련', 0.409)"
"근데제요금이290,670원인데 요금이왜 많이 올랐는지 궁금해서","('요금제문의', 0.539)",,
기업은행 으로 보내주세요,,,
주재민 940409,,,
앱으로보내주세요,"('메시지 관련', 0.44)","('제조사 AS 센터 연락처', 0.434)","('Tworld 문자 보내기 이용 방법', 0.408)"
미납요금 24일전에 정리해보려합니다,"('자동납부 해지 방법', 0.472)","('수납이력서 재발행 방법', 0.464)","('요금 납부일 확인 방법', 0.458)"
그럼 지금 데이터 쿠폰 몇장있는건 가요?,"('데이터 추가 사용 방법', 0.647)","('데이터 문의 관련', 0.631)","('T데이터 쿠폰 잔액 조회 방법', 0.551)"
혹시 추후에라도 국제불법전화 부가요금이 부과될 수 있을 가능성이 있을까요?,"('국제전화 발신 금지', 0.472)","('국제전화 청구 주기', 0.44)","('국제전화수신거부 서비스', 0.42)"
11월 10날 납부예정,"('요금 납부일 확인 방법', 0.6)","('요금 납부일 변경 방법', 0.549)","('단말기 할부금 중도 납부 방법', 0.514)"
25%약정  장애인 다시 신청원합니다,"('선택약정 할인제도 재가입 조건', 0.508)","('복지할인 제도 변경 방법', 0.5)","('장애인 복지할인 제도', 0.426)"
약정할인재가입 원해요,"('선택약정 할인제도 재가입 조건', 0.657)","('선택약정 할인제도 승계 조건', 0.422)",
장지경 820804,,,
안녕하세요 핸드폰 결제한도 조정문의드립니다,"('애플 콘텐츠 이용료 결제 이용 한도', 0.613)","('법인 휴대폰 결제 이용 한도', 0.592)","('060정보료 한도제', 0.464)"
제 요금제로 로밍하게되면,"('T로밍 Biz 요금제', 0.575)","('로밍 요금 확인 시점', 0.54)","('로밍 통화 요금', 0.537)"
데이터 다 쓰면 통화가 아예 안되나요?,"('데이터통화료 상한제도', 0.518)","('데이터 문의 관련', 0.497)","('mVoIP', 0.497)"
있어서 제대로 글자 입력이 되지 않고 있습니다,"('제조사 AS 센터 연락처', 0.484)","('고장 실패 관련', 0.482)","('T전화 글꼴 변경 방법', 0.47)"
15일 납부가 가능할것같습니다.,"('단말기 할부금 중도 납부 방법', 0.627)","('요금 납부일 변경 방법', 0.581)","('요금 납부일 확인 방법', 0.579)"
완납 납부가 10일날자로 되는데 어떻게해야하나요,"('요금 납부일 변경 방법', 0.664)","('요금 납부일 확인 방법', 0.631)","('단말기 할부금 중도 납부 방법', 0.593)"
네네 아니면지금 카드로납부해도되나요,"('단말기 할부금 중도 납부 방법', 0.566)","('요금 부분 납부 방법', 0.513)","('요금 납부일 변경 방법', 0.487)"
뭐 가입에 1000원이 붙은건지,"('가입비', 0.616)","('T멤버십 발급 비용', 0.454)","('SK텔레콤 할인 혜택', 0.437)"
제가 지금은 호텔에서 와이파이 사용이라 확인은 어렵지만 DST 통신사 잡혔다고 떴습니다.,,,
휴대폰결제 한도가 삼만원인데 오만원으로 변경가능합니까,"('법인 휴대폰 결제 이용 한도', 0.531)","('애플 콘텐츠 이용료 결제 이용 한도', 0.461)","('휴대폰 결제 이용 제한 방법', 0.447)"
20일까지 납부하면안될까요?,"('요금 납부일 변경 방법', 0.658)","('단말기 할부금 중도 납부 방법', 0.635)","('요금 납부일 확인 방법', 0.61)"
납기가능일 하지않나나요,"('요금 납부일 확인 방법', 0.666)","('요금 납부일 변경 방법', 0.593)","('휴대폰 개통일 확인 방법', 0.495)"
납부가능일 등록 이희원 630319,"('요금 납부일 확인 방법', 0.67)","('요금 납부일 변경 방법', 0.531)",
부과가되는것인가요,"('가산금', 0.583)","('요금제문의', 0.482)","('부가서비스 가입내역 확인 방법', 0.479)"
해외입니다,"('T로밍 고객센터', 0.53)","('해외 SMS 서비스', 0.519)","('Foreign Language Service', 0.501)"
선택약정할인 연장하려고 합니다,"('선택약정 할인제도 약정 기간 변경', 0.644)","('선택약정 할인제도 재가입 조건', 0.614)","('선택약정 할인제도 해지 방법', 0.566)"
네.  해지해주세요,"('이동전화 해지 방법', 0.811)","('퀵보이스 해지 방법', 0.562)","('철회', 0.511)"
부가서비스비용 4~5천원대가 있던걸로봐서요,"('부가서비스 가입내역 확인 방법', 0.557)","('부가 사용 금액', 0.543)","('요금제문의', 0.477)"
지존 로밍에서 12G짜리로 변경할라고요,"('baro 12GB', 0.487)","('T로밍 데이터 12시간 옵션 변경', 0.414)",
전에는 정지 확정안내 안왔었는데,"('정지 관련', 0.685)","('정지 해제 관련', 0.468)","('장기일시정지', 0.429)"
114로 했는데,"('전화 상담사 연결', 0.597)","('T전화 T114 이용 방법', 0.496)","('SK텔레콤 고객센터 운영 시간', 0.411)"
어제 미납이라고 문자와서 즉시납부했는데 오늘 또 미납청구서가 왔어요,"('과납', 0.611)","('SKT 미납센터 연락처', 0.575)","('수납이력서 재발행 방법', 0.506)"
16일까지 추후 납입이 안된다면 정지가 된다는 건가용?,"('미납 이용정지', 0.625)","('정지 관련', 0.515)","('장기일시정지', 0.411)"
와이프입니다.,"('가족 관련', 0.557)","('가족결합 확인 방법', 0.423)",
미납 반은 가상계좌로 내고,"('요금 부분 납부 방법', 0.658)","('과납', 0.548)","('요금 수납 내역 확인 방법', 0.517)"
미납요금 날짜입력하라고해서요,"('요금 납부일 확인 방법', 0.658)","('자동납부번호 확인 방법', 0.52)","('수납이력서 재발행 방법', 0.513)"
지금 해지하는 상품은 사용안해도 비용이 발생하지요?,"('예상 해지 금액', 0.658)","('이동전화 해지 방법', 0.537)","('단말보험 해지 방법', 0.476)"
"청구금액은 36,050원 인데 여기서 나중에 빠진다는건가요?","('요금 부분 납부 방법', 0.481)","('과납', 0.447)","('가산금', 0.415)"
혹시 제요금이 알뜰 요금인지,"('SK 세븐모바일', 0.549)","('요금제문의', 0.532)",
청년로밍은  저한테는  제외인가요?,"('미성년자 로밍', 0.504)","('0청년 요금제', 0.462)",
기업은행으로 부탁드립니다,,,
국제 전화 요금 따로 나온게 있나 싶어서 문의 드려요,"('국제전화 청구 주기', 0.635)","('로밍 통화 요금', 0.626)","('국제전화 알림 Biz 레터링', 0.556)"
28일에입금안돼나요,"('요금 납부일 변경 방법', 0.483)","('요금 납부일 확인 방법', 0.414)","('개통 관련', 0.409)"
청구서 문자,"('요금안내서 변경 방법', 0.683)","('메시지 관련', 0.561)","('요금안내서 재발행 방법', 0.557)"
납부일자 25일로 뱐경하려고하는데요,"('요금 납부일 변경 방법', 0.839)","('요금 납부일 확인 방법', 0.709)","('유선 요금 납부일 변경 방법', 0.475)"
1. 김천 2. 860515,,,
